TempC,TempF,Humi
29.56,89.20,56.55
29.56,89.20,56.57
29.56,89.20,56.58
29.56,89.20,56.59
29.53,89.15,56.62
29.53,89.15,56.67
29.54,89.17,56.74
29.53,89.15,56.73
29.54,89.17,56.68
29.53,89.15,56.64
29.53,89.15,56.72
29.53,89.15,56.74
29.53,89.15,56.74
29.49,89.07,56.75
29.53,89.15,57.07
29.50,89.10,57.17
29.56,89.20,57.27
29.53,89.15,57.52
29.51,89.13,57.57
29.53,89.15,57.58
29.49,89.07,57.58
29.53,89.15,57.74
29.51,89.13,57.99
29.53,89.15,58.13
29.53,89.15,58.13
29.51,89.13,57.97
29.54,89.17,57.90
29.50,89.10,57.89
29.50,89.10,57.79
29.53,89.15,57.74
29.50,89.10,57.40
29.53,89.15,57.05
29.51,89.13,56.85
29.49,89.07,57.00
29.47,89.05,56.90
29.47,89.05,56.58
29.47,89.05,56.64
29.46,89.02,56.60
29.43,88.97,56.54
29.43,88.97,56.82
29.44,89.00,56.99
29.46,89.02,57.20
29.44,89.00,57.17
29.42,88.95,57.00
29.37,88.87,56.67
29.37,88.87,56.32
29.36,88.84,55.98
29.31,88.77,55.86
29.30,88.74,55.78
29.29,88.72,55.78
29.33,88.79,55.80
29.30,88.74,55.94
29.26,88.66,56.03
29.27,88.69,56.17
29.23,88.62,56.23
29.22,88.59,56.26
29.20,88.56,56.36
29.23,88.62,56.58
29.20,88.56,56.50
29.19,88.54,56.15
29.18,88.52,55.98
29.18,88.52,55.93
29.16,88.49,55.88
29.12,88.41,55.86
29.15,88.46,56.02
29.15,88.46,56.23
29.13,88.44,56.39
29.10,88.39,56.44
29.09,88.36,56.50
29.09,88.36,56.58
29.08,88.34,56.55
29.08,88.34,56.39
29.05,88.28,56.31
29.06,88.31,56.25
29.02,88.24,56.11
29.01,88.21,56.14
29.01,88.21,56.14
29.01,88.21,56.17
28.99,88.18,56.16
28.99,88.18,56.13
28.95,88.11,56.13
28.95,88.11,56.22
28.98,88.16,56.42
28.96,88.14,56.67
28.96,88.14,56.90
28.93,88.08,56.98
28.93,88.08,56.84
28.91,88.03,56.78
28.93,88.08,56.76
28.91,88.03,56.71
28.89,88.01,56.71
28.88,87.98,56.65
28.91,88.03,56.51
28.87,87.96,56.41
28.87,87.96,56.36
28.87,87.96,56.35
28.87,87.96,56.40
28.85,87.93,56.43
28.87,87.96,56.48
28.85,87.93,56.51
28.87,87.96,56.46
28.85,87.93,56.46
28.85,87.93,56.41
28.85,87.93,56.41
28.82,87.88,56.47
28.81,87.85,56.46
28.82,87.88,56.51
28.78,87.80,56.52
28.79,87.83,56.47
28.75,87.75,56.50
28.74,87.73,56.46
28.76,87.78,56.49
28.75,87.75,56.50
28.75,87.75,56.48
28.76,87.78,56.54
28.74,87.73,56.54
28.76,87.78,56.56
28.75,87.75,56.64
28.74,87.73,56.65
28.74,87.73,56.62
28.69,87.65,56.59
28.69,87.65,56.53
28.71,87.67,56.43
28.72,87.70,56.45
28.69,87.65,56.40
28.68,87.63,56.46
28.68,87.63,56.52
28.69,87.65,56.54
28.69,87.65,56.59
28.67,87.60,56.59
28.68,87.63,56.58
28.68,87.63,56.57
28.69,87.65,56.50
28.67,87.60,56.49
28.67,87.60,56.47
28.65,87.57,56.48
28.64,87.55,56.47
28.65,87.57,56.46
28.64,87.55,56.40
28.64,87.55,56.37
28.63,87.53,56.33
28.61,87.50,56.31
28.61,87.50,56.27
28.58,87.45,56.19
28.61,87.50,56.21
28.58,87.45,56.21
28.60,87.47,56.28
28.57,87.42,56.30
28.55,87.40,56.38
28.58,87.45,56.30
28.60,87.47,56.31
28.55,87.40,56.27
28.57,87.42,56.27
28.57,87.42,56.30
28.55,87.40,56.28
28.53,87.35,56.31
28.54,87.37,56.29
28.54,87.37,56.34
28.54,87.37,56.35
28.54,87.37,56.36
28.54,87.37,56.41
28.51,87.32,56.39
28.51,87.32,56.38
28.53,87.35,56.33
28.51,87.32,56.32
28.50,87.29,56.23
28.51,87.32,56.23
28.50,87.29,56.12
28.48,87.27,56.12
28.50,87.29,56.18
28.50,87.29,56.19
28.45,87.22,56.15
28.47,87.25,56.13
28.45,87.22,56.12
28.47,87.25,56.13
28.43,87.17,56.09
28.44,87.19,56.04
28.44,87.19,56.05
28.43,87.17,56.03
28.44,87.19,56.04
28.43,87.17,56.02
28.43,87.17,55.96
28.43,87.17,56.04
28.40,87.12,56.10
28.41,87.15,56.09
28.41,87.15,56.12
28.38,87.09,56.14
28.38,87.09,56.03
28.38,87.09,55.93
28.38,87.09,55.93
28.38,87.09,55.84
28.38,87.09,55.76
28.38,87.09,55.73
28.34,87.02,55.73
28.37,87.07,55.81
28.36,87.04,55.81
28.36,87.04,55.82
28.34,87.02,55.85
28.34,87.02,55.83
28.34,87.02,55.69
28.33,86.99,55.68
28.34,87.02,55.64
28.32,86.97,55.68
28.32,86.97,55.69
